Test#,Runtime(ms),Nodes,Edges,MetroCount,Result(MeetTime),Connected,Memory(bytes),Verification
1,0.001,20,24,1,-1,NO,988,YES
2,0.074,126,157,7,90,YES,5800,YES
3,0.123,210,272,12,94,YES,9960,YES
4,0.164,300,404,17,9,YES,14732,YES
5,0.233,400,558,24,43,YES,20304,YES
6,0.306,510,736,32,48,YES,26744,YES
7,0.375,632,942,41,13,YES,34196,YES
8,0.460,765,1178,52,4,YES,42736,YES
9,0.580,911,1447,64,18,YES,52468,YES
10,0.665,1069,1749,78,3,YES,63396,YES
11,0.806,1242,2093,93,2,YES,75840,YES
12,0.946,1429,2477,111,3,YES,89736,YES
13,1.097,1630,2904,131,1,YES,105188,YES
14,1.264,1847,3381,153,1,YES,122448,YES
15,1.468,2080,3908,178,1,YES,141520,YES
16,1.658,2331,4492,205,1,YES,162652,YES
17,1.911,2598,5133,235,1,YES,185848,YES
18,2.193,2884,5838,268,1,YES,211360,YES
19,2.464,3189,6610,304,1,YES,239296,YES
20,2.802,3513,7452,344,2,YES,269768,YES
21,3.105,3858,8371,388,1,YES,303028,YES
22,3.434,4224,9370,435,2,YES,339180,YES
23,3.797,4612,10454,487,1,YES,378412,YES
24,4.256,5023,11629,543,2,YES,420936,YES
25,4.691,5457,12898,604,1,YES,466864,YES
26,5.208,5916,14270,669,1,YES,516516,YES
27,5.720,6400,15748,740,1,YES,570008,YES
28,6.348,6910,17338,817,1,YES,627556,YES
29,6.872,7447,19046,899,1,YES,689372,YES
30,7.523,8012,20880,987,1,YES,755748,YES
31,8.232,8606,22845,1082,1,YES,826868,YES
32,9.009,9230,24949,1184,1,YES,903020,YES
33,9.710,9885,27199,1293,1,YES,984456,YES
34,10.579,10572,29602,1410,1,YES,1071432,YES
35,11.509,11292,32165,1534,1,YES,1164196,YES
36,12.502,12045,34894,1667,1,YES,1262972,YES
37,13.634,12834,37802,1808,1,YES,1368224,YES
38,14.597,13659,40894,1959,1,YES,1480140,YES
39,15.832,14521,44179,2119,1,YES,1599040,YES
40,17.049,15421,47665,2290,1,YES,1725220,YES
41,18.512,16361,51364,2471,1,YES,1859108,YES
42,19.939,17342,55284,2663,1,YES,2000996,YES
43,21.712,18365,59436,2866,1,YES,2151280,YES
44,23.081,19431,63828,3081,1,YES,2310252,YES
45,24.590,20541,68470,3309,1,YES,2478276,YES
46,26.288,21697,73375,3550,1,YES,2655820,YES
47,28.157,22900,78554,3805,1,YES,2843284,YES
48,30.428,24152,84020,4074,1,YES,3041136,YES
49,32.313,25454,89783,4358,1,YES,3249740,YES
50,34.675,26806,95852,4657,1,YES,3469420,YES
51,37.036,28211,102244,4973,1,YES,3700796,YES
52,40.066,29671,108973,5305,1,YES,3944368,YES
53,41.901,31186,116050,5654,1,YES,4200536,YES
54,44.474,32758,123488,6022,1,YES,4469776,YES
55,47.733,34388,131300,6409,1,YES,4752556,YES
56,50.349,36079,139505,6815,1,YES,5049560,YES
57,53.310,37832,148118,7242,1,YES,5361336,YES
58,57.044,39648,157150,7689,1,YES,5688276,YES
59,59.937,41529,166619,8159,1,YES,6031040,YES
60,64.085,43477,176543,8651,1,YES,6390272,YES
61,67.407,45493,186935,9168,1,YES,6766452,YES
62,71.647,47580,197817,9708,1,YES,7160364,YES
63,77.068,49739,209205,10274,1,YES,7572596,YES
64,80.344,51971,221113,10867,1,YES,8003656,YES
65,84.612,54280,233568,11487,1,YES,8454516,YES
66,89.397,56666,246583,12135,1,YES,8925648,YES
67,94.568,59131,260176,12812,1,YES,9417704,YES
68,98.827,61678,274374,13519,1,YES,9931660,YES
69,104.571,64309,289196,14258,1,YES,10468208,YES
70,111.505,67025,304659,15030,1,YES,11027964,YES
71,116.343,69829,320790,15835,1,YES,11611900,YES
72,123.166,72723,337611,16675,1,YES,12220816,YES
73,129.410,75708,355139,17550,1,YES,12855324,YES
74,135.713,78788,373407,18463,1,YES,13516624,YES
75,141.725,81964,392434,19415,1,YES,14205404,YES
76,150.202,85238,412242,20405,1,YES,14922452,YES
77,158.388,88613,432861,21437,1,YES,15668864,YES
78,165.730,92092,454321,22511,1,YES,16445720,YES
79,175.770,95676,476640,23629,1,YES,17253676,YES
80,182.813,99368,499851,24792,1,YES,18093924,YES
81,191.091,103170,523979,26001,1,YES,18967368,YES
82,202.492,107085,549054,27258,1,YES,19875096,YES
83,210.036,111116,575109,28565,1,YES,20818304,YES
84,218.454,115265,602172,29922,1,YES,21798000,YES
85,230.266,119535,630275,31333,1,YES,22815352,YES
86,240.620,123928,659447,32797,1,YES,23871400,YES
87,250.909,128447,689721,34317,1,YES,24967344,YES
88,264.319,133095,721133,35895,1,YES,26104488,YES
89,275.899,137875,753717,37533,1,YES,27284064,YES
90,288.417,142790,787508,39231,1,YES,28507332,YES
91,300.979,147842,822539,40993,1,YES,29775496,YES
92,315.461,153034,858845,42819,1,YES,31089816,YES
93,329.249,158370,896470,44712,1,YES,32451888,YES
94,343.176,163852,935446,46673,1,YES,33862868,YES
95,357.204,169484,975817,48705,1,YES,35324352,YES
96,372.387,175269,1017622,50810,1,YES,36837752,YES
97,390.862,181209,1060896,52990,1,YES,38404336,YES
98,406.686,187309,1105691,55247,1,YES,40025984,YES
99,422.206,193572,1152047,57583,1,YES,41704144,YES
100,440.404,200000,1200000,60000,1,YES,43440120,YES
